a0130 com01,filosofia especial i 
a0132 com01,filosofia moderna 
a0133 com01,filosofia politica 
a0134 com01,filosofia y educacion 
a0136 com01,finanzas y proyectos de inversion 
a0137 com01,fisica general 
a0138 com01,fisica i 
a0138 com02,fisica i 
a0138 com03,fisica i 
a0139 com01,fisica ii 
a0139 com02,fisica ii 
a0720 com01,fisica ii  
a0720 com02,fisica ii  
a0667 com01,fisica inicial 
a0667 com02,fisica inicial 
a0667 com03,fisica inicial 
a0667 com05,fisica inicial 
a0667 com08,fisica inicial 
a0667 com09,fisica inicial 
a0142 com01,fundamentos de la investigacion social 
a0665 com01,fundamentos de programacion 
a0144 com01,geografia economica 
a0145 com01,geografia fisica 
a0145 com02,geografia fisica 
a0502 com01,geografia politica 
a0507 com01,geografia regional argentina: social y economica 
a0501 com01,geografia social y demografia 
a0146 com01,geografia urbana y regional 
a0147 com01,geometria i 
a0148 com01,geometria ii 
a0538 com01,gestion de proyectos 
a0149 com01,gestion de proyectos estetico-culturales i 
a0150 com01,gestion de proyectos estetico-culturales ii 
a0152 com01,gestion de recursos hidricos 
a0153 com01,gestion de recursos humanos 
a0153 com02,gestion de recursos humanos 
a0157 com01,gestion de residuos 
a0518 com01,gestion en economia mixta 
a0159 com01,gestion presupuestaria y finanzas publicas 
a0439 com01,gestion y administracion de bases de datos 
a0439 com02,gestion y administracion de bases de datos 
a0160 com01,gnoseologia 
a0162 com01,"higiene, seguridad industrial y medio ambiente "
a0669 com01,"higiene, seguridad y proteccion ambiental "
a0163 com01,historia argentina contemporanea 
a0163 com02,historia argentina contemporanea 
a0163 com03,historia argentina contemporanea 
a0163 com04,historia argentina contemporanea 
a0163 com05,historia argentina contemporanea 
a0163 com06,historia argentina contemporanea 
a0164 com01,historia argentina i 
a0164 com02,historia argentina i 
a0164 com03,historia argentina i 
a0165 com01,historia argentina ii 
a0165 com02,historia argentina ii 
a0166 com01,historia contemporanea de europa 
a0166 com02,historia contemporanea de europa 
a0167 com01,historia de africa 
a0168 com01,historia de asia 
a0168 com02,historia de asia 
a0169 com01,historia de la ciudad 
a0171 com01,historia de la historiografia 
a0759 com01,"historia de las emociones: conceptos, problemas,
metodos y fuentes "
a0172 com01,historia de las tecnicas y medios de comunicacion 
a0174 com01,historia economica y social mundial y latinoamericana 
a0174 com02,"historia economica y social mundial y latinoamericana
"
a0178 com01,historia general de la educacion 
a0179 com01,historia latinoamericana contemporanea 
a0180 com01,historia latinoamericana i 
a0180 com02,historia latinoamericana i 
a0181 com01,historia latinoamericana ii 
a0182 com01,historia medieval y moderna 
a0182 com02,historia medieval y moderna 
a0183 com01,historia moderna y contemporanea 
a0183 com02,historia moderna y contemporanea 
a0183 com03,historia moderna y contemporanea 
a0183 com04,historia moderna y contemporanea 
a0183 com05,historia moderna y contemporanea 
a0183 com06,historia moderna y contemporanea 
a0183 com07,historia moderna y contemporanea 
a0184 com01,historia y filosofia de las ciencias naturales 
a0440 com01,"informatica aplicada a los sistemas de informacion
geografica, parte i "
a0536 com01,informatica y sociedad 
a0191 com01,"infraestructura y servicios urbanos: saneamiento
"
a0442 com01,ingenieria de software 
a0442 com02,ingenieria de software 
a0527 com01,ingenieria de software i 
a0527 com02,ingenieria de software i 
a0529 com01,ingenieria de software ii 
a0678 com01,ingles academico profesional i 
a0678 com02,ingles academico profesional i 
a0678 com03,ingles academico profesional i 
a0678 com04,ingles academico profesional i 
a0678 com05,ingles academico profesional i 
a0678 com06,ingles academico profesional i 
a0678 com07,ingles academico profesional i 
a0678 com08,ingles academico profesional i 
a0679 com01,ingles academico profesional ii 
a0679 com02,ingles academico profesional ii 
a0679 com03,ingles academico profesional ii 
a0679 com04,ingles academico profesional ii 
a0683 com01,ingles academico profesional iii 
a0683 com02,ingles academico profesional iii 
a0683 com03,ingles academico profesional iii 
a0416 com01,ingles con propositos especificos i 
a0416 com02,ingles con propositos especificos i 
a0416 com03,ingles con propositos especificos i 
a0416 com04,ingles con propositos especificos i 
a0416 com05,ingles con propositos especificos i 
a0416 com06,ingles con propositos especificos i 
a0416 com07,ingles con propositos especificos i 
a0416 com08,ingles con propositos especificos i 
a0417 com01,ingles con propositos especificos ii 
a0417 com02,ingles con propositos especificos ii 
a0417 com03,ingles con propositos especificos ii 
a0417 com04,ingles con propositos especificos ii 
a0418 com01,ingles con propositos especificos iii 
a0418 com02,ingles con propositos especificos iii 
a0418 com03,ingles con propositos especificos iii 
a0419 com01,ingles con propositos especificos iv economia 
a0420 com01,ingles con propositos especificos iv ingenieria 
a0193 com01,ingles lectocomprension i 
a0193 com02,ingles lectocomprension i 
a0193 com03,ingles lectocomprension i 
a0193 com04,ingles lectocomprension i 
a0193 com05,ingles lectocomprension i 
a0193 com06,ingles lectocomprension i 
a0193 com07,ingles lectocomprension i 
a0193 com08,ingles lectocomprension i 
a0193 com09,ingles lectocomprension i 
a0193 com10,ingles lectocomprension i 
a0193 com11,ingles lectocomprension i 
a0193 com12,ingles lectocomprension i 
a0193 com13,ingles lectocomprension i 
a0193 com14,ingles lectocomprension i 
a0193 com15vt,ingles lectocomprension i 
a0193 com16vt,ingles lectocomprension i 
a0193 com17vt,ingles lectocomprension i 
a0194 com01,ingles lectocomprension ii 
a0194 com02,ingles lectocomprension ii 
a0194 com03,ingles lectocomprension ii 
a0194 com04,ingles lectocomprension ii 
a0194 com05vt,ingles lectocomprension ii 
a0194 com06,ingles lectocomprension ii 
a0194 com07,ingles lectocomprension ii 
a0194 com08vt,ingles lectocomprension ii 
a0194 com09vt,ingles lectocomprension ii 
a0195 com01,ingles lectocomprension iii 
a0195 com02vt,ingles lectocomprension iii 
a0195 com03vt,ingles lectocomprension iii 
a0195 com04vt,ingles lectocomprension iii 
a0685 com01,instalaciones electromecanicas i 
a0196 com01,instalaciones industriales 
a0197 com01,instalaciones industriales a 
a0563 com01,instalaciones industriales para ingenieria quimica 
a0198 com01,instituciones politicas y politica comparada 
a0199 com01,instrumentacion y control industrial 
