algebra lineal  a0025 com05,"dia: jueves | horario: 18:00 a 19:59 | docentes: villagra marcela patricia, wilhelm sebastian enrique | aula: aula 3027 | edificacion: moduloiii | compartido con: a0025 com-06 |a0025 com-05 | tipo de clase: teorico | instancia: regularidad
 | dia: jueves | horario: 20:00 a 22:00 | docentes: villagra marcela patricia, wilhelm sebastian enrique | aula: aula 7024 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
 | dia: martes | horario: 18:00 a 19:59 | docentes: villagra marcela patricia, wilhelm sebastian enrique | aula: aula 3027 | edificacion: moduloiii | compartido con: a0025 com-06 |a0025 com-05 | tipo de clase: teorico | instancia: regularidad
 | dia: martes | horario: 20:00 a 22:00 | docentes: villagra marcela patricia, wilhelm sebastian enrique | aula: aula 7278 | edificacion: moduloviid e3 | compartido con: nan | tipo de clase: practico | instancia: regularidad
"
algebra lineal  a0025 com06,"dia: jueves | horario: 18:00 a 19:59 | docentes: gotting andrea soledad, villagra marcela patricia | aula: aula 3027 | edificacion: moduloiii | compartido con: a0025 com-06 |a0025 com-05 | tipo de clase: teorico | instancia: regularidad
 | dia: jueves | horario: 20:00 a 22:00 | docentes: gotting andrea soledad, villagra marcela patricia | aula: aula 7012 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
 | dia: martes | horario: 18:00 a 19:59 | docentes: gotting andrea soledad, villagra marcela patricia | aula: aula 3027 | edificacion: moduloiii | compartido con: a0025 com-06 |a0025 com-05 | tipo de clase: teorico | instancia: regularidad
 | dia: martes | horario: 20:00 a 22:00 | docentes: gotting andrea soledad, villagra marcela patricia | aula: aula 7172 | edificacion: modulovii | compartido con: nan | tipo de clase: practico | instancia: regularidad
"
analisis matematico  a0026 com01,"dia: jueves | horario: 18:00 a 22:00 | docentes: ben roberto ignacio, devia dario daniel | aula: labo com 7114 | edificacion: modulovii | compartido con: nan | tipo de clase: informatica | instancia: regularidad
 | dia: lunes | horario: 18:00 a 22:00 | docentes: ben roberto ignacio, devia dario daniel | aula: aula 3010 | edificacion: moduloiii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
"
analisis numerico  a0027 com01,"dia: jueves | horario: 18:00 a 20:59 | docentes: matera guillermo, paccosi ruben gustavo | aula: labo com 7112 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
 | dia: lunes | horario: 18:00 a 20:59 | docentes: matera guillermo, paccosi ruben gustavo | aula: labo com 7114 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
"
analisis territorial ii  a0093 com01,"dia: jueves | horario: 18:00 a 22:00 | docentes: natale daniela noelia | aula: labo com 7115 | edificacion: modulovii | compartido con: a0500 com-01 |a0093 com-01 | tipo de clase: informatica | instancia: regularidad
"
antropologia filosofica  a0176 com01,"dia: miercoles | horario: 18:00 a 22:00 | docentes: suazo gisela eleonora, uhrig leandro damian | aula: aula 05  | edificacion: roca | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
 | dia: viernes | horario: 18:00 a 19:59 | docentes: suazo gisela eleonora, uhrig leandro damian | aula: aula 3021 | edificacion: moduloiii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
"
aprendizaje escolar  a0575 com01,"dia: martes | horario: 09:00 a 11:59 | docentes: duhalde mariela cecilia | aula: aula 7020 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
aprendizaje escolar  a0575 com02,"dia: martes | horario: 13:00 a 15:59 | docentes: duhalde mariela cecilia | aula: aula 7020 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico | instancia: regularidad/promocion
"
aprendizaje escolar  a0575 com03,"dia: martes | horario: 18:00 a 20:59 | docentes: scavino natalia carolina | aula: aula 7020 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
aprendizaje escolar  a0575 com04,"dia: jueves | horario: 18:00 a 20:59 | docentes: mayer lucas martin | aula: aula 7022 | edificacion: modulovii | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
artes audiovisuales i  a0030 com01,"dia: viernes | horario: 18:00 a 22:00 | docentes: rozenmacher lucas | aula: sala 01 | edificacion: modulo i | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
artes escenicas ii  a0033 com01,"dia: martes | horario: 18:00 a 22:00 | docentes: leonardi yanina andrea | aula: sala 01 | edificacion: modulo i | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
artes visuales i  a0034 com01,"dia: lunes | horario: 18:00 a 22:00 | docentes: valente claudia | aula: sala 01 | edificacion: modulo i | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad/promocion
"
automatizacion basica  a00673 com01,"dia: sin definir | horario: sin definir | docentes: agotegaray juan carlos, jimenez placer gustavo pedro | aula: virtual | edificacion: nan | compartido con: nan | tipo de clase: sin definir | instancia: regularidad
"
automatizacion i  a0036 com01,"dia: miercoles | horario: 18:00 a 22:00 | docentes: agotegaray juan carlos, jimenez placer gustavo pedro | aula: lab auto 3 | edificacion: modulo iii d (labing) | compartido con: nan | tipo de clase: teorico/practico | instancia: regularidad
"
